                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.5155,                0.84897,                 2.0176,                0.95369,                      1,                  0.995,                 0.0995,                 4.0106,                  1.472,                  1.066,              0.0015248,              0.0015248,              0.0015248
                     99,                 1.4413,                0.91993,                 2.0737,                0.95369,                      1,                  0.995,                 0.0995,                 4.0485,                 1.1296,                 1.0494,              0.0015199,              0.0015199,              0.0015199
                    100,                 1.5423,                0.87206,                 2.2075,                0.95369,                      1,                  0.995,                 0.0995,                 3.8811,                 1.1424,                 1.0456,              0.0015149,              0.0015149,              0.0015149
                    101,                 1.5352,                 1.1359,                 2.2568,                0.95369,                      1,                  0.995,                 0.0995,                  3.799,                 1.1514,                 1.0565,              0.0015099,              0.0015099,              0.0015099
                    102,                 1.4016,                0.80559,                 1.9952,                0.90729,                      1,                  0.995,                 0.0995,                  4.028,                 1.5403,                 1.0824,               0.001505,               0.001505,               0.001505
                    103,                 1.4218,                 0.8136,                 2.1125,                0.90729,                      1,                  0.995,                 0.0995,                 3.9452,                 1.8677,                  1.041,              0.0015001,              0.0015001,              0.0015001
                    104,                 1.6588,                0.92779,                 2.1352,                 0.7272,                      1,                  0.995,                 0.0995,                 3.8644,                  2.112,                 1.0535,              0.0014951,              0.0014951,              0.0014951
                    105,                 1.5556,                0.92723,                 2.7003,                0.93382,                      1,                  0.995,                  0.199,                 4.0212,                 2.5143,                 1.1323,              0.0014901,              0.0014901,              0.0014901
                    106,                 1.4517,                0.91077,                 2.1282,                0.90793,                      1,                  0.995,                  0.199,                 3.9408,                 2.4258,                 1.2064,              0.0014852,              0.0014852,              0.0014852
                    107,                 1.4909,                 1.0304,                 2.5225,                0.87957,                      1,                  0.995,                  0.199,                  3.936,                 2.1252,                 1.3094,              0.0014803,              0.0014803,              0.0014803
                    108,                 1.5635,                 1.0159,                 2.4355,                0.87806,                      1,                  0.995,                  0.199,                 4.0447,                 2.3588,                 1.4577,              0.0014753,              0.0014753,              0.0014753
                    109,                 1.5924,                0.98912,                 2.6072,                0.93318,                      1,                  0.995,                  0.199,                 4.1608,                 2.9999,                 1.5796,              0.0014703,              0.0014703,              0.0014703
                    110,                 1.5208,                0.94356,                 2.0857,                 0.9468,                      1,                  0.995,                  0.199,                 4.2226,                 2.9912,                 1.5011,              0.0014654,              0.0014654,              0.0014654
                    111,                 1.5129,                0.92818,                 2.2937,                0.95437,                      1,                  0.995,                 0.0995,                 4.2363,                 2.8681,                 1.4004,              0.0014605,              0.0014605,              0.0014605
                    112,                 1.5087,                 1.0099,                 2.1335,                0.95632,                      1,                  0.995,                 0.0995,                 4.2096,                  3.037,                 1.2624,              0.0014555,              0.0014555,              0.0014555
                    113,                 1.4909,                 0.9487,                 2.1835,                0.95624,                      1,                  0.995,                 0.0995,                 4.2581,                 3.1702,                 1.2741,              0.0014505,              0.0014505,              0.0014505
                    114,                 1.4851,                0.94137,                 2.4026,                0.95624,                      1,                  0.995,                 0.0995,                 4.3671,                 2.6538,                 1.2925,              0.0014456,              0.0014456,              0.0014456
                    115,                 1.4691,                0.92669,                 2.2609,                0.95624,                      1,                  0.995,                 0.0995,                 4.4038,                 2.4673,                 1.3138,              0.0014406,              0.0014406,              0.0014406
                    116,                 1.5454,                0.92506,                   2.43,                0.95624,                      1,                  0.995,                 0.0995,                 4.4101,                 2.4116,                 1.3075,              0.0014357,              0.0014357,              0.0014357
                    117,                 1.5609,                0.94181,                 2.1285,                0.95242,                      1,                  0.995,                 0.0995,                 4.3692,                  2.206,                 1.3695,              0.0014307,              0.0014307,              0.0014307
                    118,                 1.4762,                 1.0873,                 2.3761,                 0.9542,                      1,                  0.995,                 0.0995,                 4.3648,                 2.4449,                 1.3968,              0.0014258,              0.0014258,              0.0014258
                    119,                  1.341,                0.98734,                   2.37,                 0.9542,                      1,                  0.995,                 0.0995,                  4.359,                   2.17,                 1.3412,              0.0014208,              0.0014208,              0.0014208
                    120,                   1.58,                0.97373,                 1.9636,                 0.9542,                      1,                  0.995,                 0.0995,                 4.2505,                 2.0806,                 1.2933,              0.0014159,              0.0014159,              0.0014159
                    121,                 1.5514,                 1.1051,                 2.3129,                 0.9542,                      1,                  0.995,                 0.0995,                 4.0708,                 2.1811,                 1.2228,               0.001411,               0.001411,               0.001411
                    122,                 1.4059,                0.85694,                 1.8598,                0.93958,                      1,                  0.995,                 0.0995,                 3.8183,                 2.2234,                 1.2349,               0.001406,               0.001406,               0.001406
                    123,                 1.4415,                0.87922,                  1.736,                0.92715,                      1,                  0.995,                 0.0995,                 3.6905,                 1.9736,                 1.4705,              0.0014011,              0.0014011,              0.0014011
                    124,                  1.425,                0.89973,                 1.8563,                0.82493,                      1,                  0.995,                  0.199,                 3.7144,                 1.9163,                 1.4615,              0.0013961,              0.0013961,              0.0013961
                    125,                 1.2722,                0.84836,                 1.8097,                0.91593,                      1,                  0.995,                 0.0995,                 3.8968,                 1.9408,                  1.572,              0.0013912,              0.0013912,              0.0013912
                    126,                 1.4845,                0.99338,                 1.7908,                0.91593,                      1,                  0.995,                 0.0995,                 4.1422,                 2.3163,                 1.7685,              0.0013862,              0.0013862,              0.0013862
                    127,                 1.4339,                0.87222,                 2.0735,                0.91593,                      1,                  0.995,                 0.0995,                 4.2917,                 2.7184,                 1.6311,              0.0013813,              0.0013813,              0.0013813
                    128,                 1.4638,                 1.0283,                 2.4676,                0.91593,                      1,                  0.995,                 0.0995,                 4.3648,                 3.0812,                 1.4676,              0.0013763,              0.0013763,              0.0013763
                    129,                 1.4417,                0.88076,                 1.8826,                0.91593,                      1,                  0.995,                 0.0995,                 4.4131,                 2.9345,                  1.068,              0.0013714,              0.0013714,              0.0013714
                    130,                  1.429,                0.94968,                 2.0326,                0.91593,                      1,                  0.995,                 0.0995,                 4.0814,                 2.3579,                 1.0152,              0.0013664,              0.0013664,              0.0013664
                    131,                 1.3856,                0.86173,                  1.838,                0.47841,                      1,                 0.4975,                 0.0995,                 3.8279,                 1.3983,                 1.1339,              0.0013615,              0.0013615,              0.0013615
                    132,                 1.2743,                0.89759,                 1.9304,                0.05882,                      1,                0.33167,                 0.0995,                 3.7705,                  1.148,                 1.2577,              0.0013565,              0.0013565,              0.0013565
                    133,                 1.4893,                0.91346,                  2.202,                0.05882,                      1,                0.33167,                 0.0995,                 3.9231,                 1.3068,                 1.1562,              0.0013515,              0.0013515,              0.0013515
                    134,                  1.256,                0.85304,                 2.9183,                0.05882,                      1,                0.33167,                 0.0995,                 4.1254,                 1.8355,                 1.1727,              0.0013466,              0.0013466,              0.0013466
                    135,                 1.2389,                0.76584,                 1.7943,                0.05882,                      1,                0.33167,                 0.0995,                 3.9753,                 2.3222,                 1.3945,              0.0013417,              0.0013417,              0.0013417
                    136,                 1.4822,                0.81483,                 1.8204,                0.05882,                      1,                0.33167,                 0.0995,                 3.7697,                 2.2597,                 1.4089,              0.0013367,              0.0013367,              0.0013367
                    137,                 1.4299,                0.86469,                 2.0412,                0.05882,                      1,                0.33167,                 0.0995,                 3.7326,                 1.8757,                 1.4338,              0.0013318,              0.0013318,              0.0013318
                    138,                 1.3299,                0.83969,                 1.9474,                0.46839,                      1,                 0.4975,                0.04975,                 3.6893,                 1.5897,                 1.3879,              0.0013268,              0.0013268,              0.0013268
